[14/07/2025 10:15:08] -> #ID:1 |Cliente:Pedro |Valor:R$117,00 |Imposto:R$1,76 |Frete:R$25,85 |Total:R$144,61
[14/07/2025 10:15:10] -> #ID:2 |Cliente:Fernando |Valor:R$250,00 |Imposto:R$3,75 |Frete:R$32,50 |Total:R$286,25
[14/07/2025 10:15:12] -> #ID:3 |Cliente:Fernando |Valor:R$66,00 |Imposto:R$0,99 |Frete:R$23,30 |Total:R$90,29
[14/07/2025 10:15:14] -> #ID:4 |Cliente:Marina |Valor:R$78,00 |Imposto:R$1,17 |Frete:R$23,90 |Total:R$103,07
[14/07/2025 10:15:16] -> #ID:5 |Cliente:Marina |Valor:R$174,00 |Imposto:R$2,61 |Frete:R$28,70 |Total:R$205,31
[14/07/2025 10:15:18] -> #ID:6 |Cliente:Fernando |Valor:R$411,00 |Imposto:R$6,17 |Frete:R$40,55 |Total:R$457,72
[14/07/2025 10:15:21] -> #ID:7 |Cliente:Joana |Valor:R$145,00 |Imposto:R$2,18 |Frete:R$27,25 |Total:R$174,43
[14/07/2025 10:15:23] -> #ID:8 |Cliente:Fernando |Valor:R$353,00 |Imposto:R$5,30 |Frete:R$37,65 |Total:R$395,95
[14/07/2025 10:15:25] -> #ID:9 |Cliente:Marina |Valor:R$314,00 |Imposto:R$4,71 |Frete:R$35,70 |Total:R$354,41
[14/07/2025 10:20:43] -> #ID:1 |Cliente:Fernando |Valor:R$327,00 |Imposto:R$4,91 |Frete:R$36,35 |Total:R$368,26
[14/07/2025 10:20:45] -> #ID:2 |Cliente:Fernando |Valor:R$287,00 |Imposto:R$4,31 |Frete:R$34,35 |Total:R$325,66
[14/07/2025 10:20:47] -> #ID:3 |Cliente:Marina |Valor:R$103,00 |Imposto:R$1,55 |Frete:R$25,15 |Total:R$129,70
[14/07/2025 10:20:50] -> #ID:4 |Cliente:Fernando |Valor:R$389,00 |Imposto:R$5,84 |Frete:R$39,45 |Total:R$434,28
[14/07/2025 10:20:52] -> #ID:5 |Cliente:Pedro |Valor:R$368,00 |Imposto:R$5,52 |Frete:R$38,40 |Total:R$411,92
[14/07/2025 10:20:54] -> #ID:6 |Cliente:Fernando |Valor:R$406,00 |Imposto:R$6,09 |Frete:R$40,30 |Total:R$452,39
[14/07/2025 10:20:56] -> #ID:7 |Cliente:Pedro |Valor:R$332,00 |Imposto:R$4,98 |Frete:R$36,60 |Total:R$373,58
[14/07/2025 10:20:58] -> #ID:8 |Cliente:Fernando |Valor:R$244,00 |Imposto:R$3,66 |Frete:R$32,20 |Total:R$279,86
[14/07/2025 10:21:00] -> #ID:9 |Cliente:Marina |Valor:R$317,00 |Imposto:R$4,76 |Frete:R$35,85 |Total:R$357,61
